,AKT.pS473,AKT.pT308,AMPK.PT172,cJUN.pS73,EGFR.PY1173,GSK3.pS21,JNK.PT183,LKB1.pS428,MAPK.pT202,MEK1-2.PS217,mTOR.pS2448,p38.PT180,p70S6K.pT389,p90RSK.pT359,PDK1.pS241,PI3K,STAT3.pT727,STAT3.pY705,STAT5.pY964,TSC2.PT1462
MDA-MB-468 0ng EGF (30 min) (3),0.6312014,0.1347233,0.0076479,0.0424176,0.0067829,0.9843327,0.0016978,0.0101462,0.1143845,0.1214791,0.2382845,0.0115059,0.0394210,0.0269990,0.1114741,0.1289312,0.2007653,0.0161292,0.0619716,0.2109002
MDA-MB-468 5ng EGF (30 min) (1),1.5960541,0.3051629,0.0064576,0.0480193,0.0104305,1.0571475,0.0098761,0.0156664,0.6276643,0.2204243,0.2081422,0.0163370,0.0671408,0.0725443,0.0979903,0.1141636,0.2281150,0.0209265,0.0519135,0.1975940
MDA-MB-468 5ng EGF (30 min) (2),1.5521155,0.3123709,0.0034576,0.0481787,0.0013536,0.9578098,0.0082584,0.0170848,0.4703380,0.1769457,0.2413731,0.0161158,0.0606380,0.0617016,0.0995523,0.0952622,0.2375203,0.0178804,0.0499531,0.1794209
MDA-MB-468 5ng EGF (30 min) (3),1.2598308,0.3143362,0.0065776,0.0500268,0.0072017,0.8530325,0.0118631,0.0153146,0.5109329,0.1771893,0.2191556,0.0139423,0.0731372,0.0968569,0.0905740,0.1101970,0.2372538,0.0202856,0.0390773,0.2085302
MDA-MB-468 10ng EGF (30 min) (1),1.9207666,0.3218125,0.0068499,0.0499317,0.0162898,0.9172626,0.0083524,0.0164700,0.5502778,0.1881466,0.2840640,0.0174167,0.0631004,0.0692612,0.0916862,0.1020460,0.2325508,0.0343215,0.0581109,0.1823069
MDA-MB-468 10ng EGF (30 min) (2),1.8968936,0.3526181,0.0078359,0.0484314,0.0181676,1.0656316,0.0117216,0.0148520,0.5767637,0.1995603,0.2677934,0.0175819,0.0621404,0.0745850,0.0812377,0.1046959,0.2630621,0.0360965,0.0534168,0.1632381
MDA-MB-468 10ng EGF (30 min) (3),1.9096482,0.3809161,0.0059340,0.0500324,0.0169929,1.1420801,0.0095133,0.0184394,0.5786460,0.2172121,0.2673456,0.0196982,0.0738681,0.1005833,0.0871238,0.1078711,0.2841963,0.0323867,0.0540244,0.1923661
MDA-MB-468 20ng EGF (30 min) (1),2.0671992,0.3913121,0.0059395,0.0513830,0.0466855,1.1370467,0.0150318,0.0178251,0.5990602,0.2482265,0.2973366,0.0233352,0.0707646,0.1081099,0.0974371,0.1129728,0.2841135,0.0551604,0.0824680,0.2003198
MDA-MB-468 20ng EGF (30 min) (2),1.9651521,0.3519831,0.0020959,0.0530739,0.0413803,1.1555158,0.0111912,0.0181792,0.5183497,0.2678918,0.2645363,0.0229010,0.0552447,0.0800765,0.0874466,0.0941403,0.2461985,0.0633107,0.0701272,0.1813843
MDA-MB-468 20ng EGF (30 min) (3),2.0698300,0.3758511,0.0058775,0.0508132,0.0573760,1.3060402,0.0154225,0.0169015,0.5546954,0.2578104,0.2630961,0.0236676,0.0613966,0.0885872,0.0985934,0.1045224,0.2669310,0.0814125,0.0759278,0.1836465
